adm0_name,iso3,x,y,published,sources,info
Bulgaria,BGR,25.237625,42.757311,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://bg.usembassy.gov/novel-coronavirus-covid-19-information/ International SOS,"1. Passengers not arriving from Austria, Belgium, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Iceland, Ireland (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia or Sweden are not allowed to enter Bulgaria. - This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Iceland, Ireland (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia and Sweden. - This does not apply to family members of nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Greece, Hungary, Iceland, Ireland (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Norway, Poland, Portugal, Romania, Slovakia, Slovenia and Sweden. - This does not apply to passengers and their families with a permanent or long term residence permit issued by Bulgaria. - This does not apply to nationals of France, Germany, Italy, Netherlands, Spain, Switzerland and their family members when they transit through Bulgaria to return to their country of residence. - This does not apply to passengers with a British passport and their family members when they transit through Bulgaria to return to their country of residence. - This does not apply to the following passengers: a. health care professionals, health researchers and elderly care professionals; b. transport personnel engaged in the carriage of goods, crews of aircraft engaged in commercial air transport and other transport personnel as necessary; c. diplomats, officials of international organizations, military personnel and humanitarian workers in the performance of their duties; d. persons traveling for humanitarian reasons; third-country nationals who hold a long-term residence permit in an EU Member State and pass through Bulgaria in order to return to their country of residence and residence. 2. Nationals of Bulgaria arriving from risky countries are requested to observe a 14-day quarantine period. 3. All arriving passenger from Italy at Sofia airport (SOF) must fill out a questionnaire in the presence of a health inspector. Internal restrictions: The country has declared a state of emergency until 13 April. Only travel for essential purposes is allowed between capital cities of Bulgaria’s 28 districts. Checkpoints will be established from 23 March at the entry/exit roads of each regional centre. The Bulgarian province of Stara Zagora on Tuesday 31 March imposed a night curfew."
Cambodia,KHM,104.922836,12.711638,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://kh.usembassy.gov/covid-19-information/,"1. All visa exemptions, visas on arrival and e-visas are suspended until 30 April 2020. 2. All foreigners must: a. have a medical certificate, issued by competent health authorities of their country no more than 72 hours prior to the date of travel, certifying that they are not tested positive for the Coronavirus (COVID - 19); and b. have proof of insurance policy with minimum medical coverage of fifty thousand US dollars. - This does not apply to passengers with diplomatic visa (Visa A) or official visa (Visa B) issued by Cambodia. 3. Passengers upon arrival will be subject to a health risk assessment and screened by the government. They will also be subject to a mandatory isolation/quarantine. 4. Passengers arriving from France, Germany, Iran, Italy, Spain or USA are not allowed to enter Cambodia. - This does not apply to nationals and residents of Cambodia. 5. Nationals and residents of Cambodia, diplomats and officials of foreign embassies and international organizations and their family members who have a Diplomatic Visa Type A and Official Visa Type B who live or have been in France, Germany, Iran, Italy, Spain or USA in the past 14 days will be quarantine for 14 days. - This does not apply to airline crew. Internal restrictions: All schools and tertiary institutions will be closed until further notice. Large gatherings are banned."
China,CHN,104.140337,32.309904,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://china.usembassy-china.org.cn/covid-19-information/ International SOS,"From 8 April 2020, Wuhan Tianhe International Airport will resume all passenger and cargo flights on domestic air routes except to and from Beijing. (IATA, 31.03.2020) CAAC issued notification for the resumption of the domestic scheduled passenger flights in Hubei province (Wuhan exclusive) starting from 00:00L 29 March 2020. Starting from 00:00L 29th March cargo flights will be resumed for all airports in Hubei Province. Freight airlines are encouraged to operate more domestic and international cargo flights, and passenger airlines are encouraged to fly cargo without passengers onboard. (IATA, 30.03.2020) 1. Passengers are not allowed to transit or enter China. (People's Rep.) - This does not apply to nationals of China. (People's Rep.) - This does not apply to passengers with a Hong Kong (SAR China) passport or a Macao (SAR China) passport. - This does not apply to passengers with a Chinese Taipei (on the cover: Republic of China Taiwan) passport. - This does not apply to passengers with a diplomatic, service, courtesy or C visa. - This does not apply to passengers with a visa issued after 28 March 2020. 2. All passengers arriving at PEK will have a PCR test and be quarantined at the designated location in Beijing for 14 days. 3. Passengers who live in or have been in Australia, Austria, Belgium, Canada, Czechia, Denmark, Finland, France, Germany, Greece, Iran, Italy, Korea (Rep.), Malaysia, Netherlands, Norway, Qatar, Saudi Arabia, Spain , Sweden, Switzerland, United Kingdom or USA in the past 14 days arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo 14-day quarantine at home or in designated places for medical observation. 4. Passengers who have not been in Australia, Austria, Belgium, Canada, Czechia, Denmark, Finland, France, Germany, Greece, Iran, Italy, Korea (Rep.), Malaysia, Netherlands, Norway, Qatar, Saudi Arabia, Spain , Sweden, Switzerland, United Kingdom or USA in the past 14 days arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo a Nucleic Acid Testing. 5. Passengers who live in or have been in France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA in the past 14 days arriving at Guangzhou (CAN) or Shenzhen (SZX) must undergo 14-day quarantine at home or in designated places for medical observation. All passengers arriving at SZX will have a PCR test. 6. All passengers arriving at XMN will be quarantined for medical observation at the designated hotels for 14 days on their own expenses. - This does not apply to passengers under 18 years old, passengers above 70 years old, pregnant women and passengers suffering from illness. They must apply for permission to undergo a 14-day quarantine at home. Internal restrictions: Outside Hubei, railway stations and airports have gradually resumed operations and most provinces have resumed their inter-provincial road passenger transportation. Restrictions on public transportation and private car movement have been lifted in most cities. Domestic travellers who depart from areas outside Hubei and plan to stay in hotels in major cities are not subject to mandatory quarantine, but must comply with the local requirements of information registration and body temperature monitoring. For those who have residence in the destination city, they must confirm with the local residence committee about quarantine requirements as these still vary across the country. A mobile application called ‘health code’ (or similar) with different colour code (typically green, yellow, red) is being used to indicate the level of movement clearance for individual users. A green code gives permission to freedom of movement while yellow or red may indicate that 7-14 days’ quarantine is required. As each province has different variations of the application, travellers will need to check the relevant application for their destination and register their information online to get the ‘health code’ before the trip. Although such restrictions are easing, many provinces and cities still have in place community 'close-off' style management which means: A reduction of exit/entry access to the community. Access control of visitors and visiting vehicles: ID check/registration, temperature measurement at gate, delivery service is to be picked up at the gate of community etc. If there are confirmed cases in a certain community, there might be a closure of certain units/areas for quarantine depending on the severity of the local outbreak. Hubei province: Restrictions on outbound travel from Hubei province started to be lifted on 25 March with the exception of Wuhan, whose restrictions will be lifted on 8 April. Railway and passenger flights have started to gradually resume accordingly with the lifting of restrictions; however, international flights and flights to Beijing will remain suspended until further notice. Those who want to leave Hubei should confirm with their destination city on the local requirements. Most areas have started to resume intra-province passenger flights, trains, buses, ferries and city transportation, and Wuhan has also gradually started to resume public transportation in the city. The ten land boundary control points between Hong Kong and mainland China have been closed. The authorities have suspended ferries and high-speed trains, as well as the Hong Kong section of the Guangzhou-Shenzhen-Hong Kong Express Rail Link and the Intercity Through Train which is served by Hung Hom Station. Individuals who have visited Hubei province in the 14 days before arriving in Hong Kong are barred from entering the city. All travellers entering Hong Kong are required to complete and submit health declaration forms. Visitors from Mainland China, Hong Kong and Taiwan are barred from entering Macao if they have visited a foreign country in the 14 days prior to arrival. If they visited Hong Kong or Taiwan in the previous 14 days, they may enter Macao but have to undergo 14 days of medical observations at a designated location. If they have not visited a foreign country, Hong Kong or Taiwan in the past 14 days, they will have to go through a 6-8-hour medical examination if they come from a region of high number of COVID-19 cases (Beijing, Chongqing, Guangdong, Henan, Shanghai or Zhejiang). Travellers who have been to Hubei province in the 14 days prior to arrival are required to present a medical certificate proving they are free from COVID-19."
Congo,COG,15.221024,-0.840003,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm https://cg.usembassy.gov/covid-19-information/ International SOS,"All airports in Congo are closed. Cargo ships and flights are exempted from this measure. All travellers should reportedly present a COVID-19 negative test, carried out by an approved institution, to apply for any type of visa. Further indication on entry requirements should be discussed with the country’s diplomatic representations prior travel. Internal restrictions: A state of national emergency has been announced, beginning on 31 March. The new measures will last for 30 days and include a ban on internal travel, a country-wide lockdown and a curfew from 20.00 to 05.00."
Cook Islands,COK,-159.77791,-21.23477,2020-03-31,International SOS,"International restrictions: As of 25 March, entry is barred for all travellers except for New Zealand passport and permanent residence holders, Australian citizens and permanent residents who normally live in New Zealand, Cook Islanders, permanent residents of the Cook Islands, Cook Islands work permit holders and Cook Island residents permit holders. Entry will be permitted for any immediate family of travellers included in the above exempted categories. All travellers allowed entry will be subject to a 14-day mandatory quarantine. Persons intending to travel to the Cook Islands who have been in in the 14 days prior to travel, will be denied entry into the Cook Islands. Incoming flights from Australia, French Polynesia and the United States of America are suspended. Travellers coming from the above countries will need to undergo self quarantine in New Zealand for 14 days before departure for Cook Islands. Foreign cruise ships are barred from entry."
Democratic Republic of the Congo,COD,23.655976,-2.876871,2020-03-31,https://www.reuters.com/article/us-health-coronavirus-congo/congo-closes-borders-enforces-state-of-emergency-over-coronavirus-idUSKBN21B3GT UNHAS International SOS https://cd.usembassy.gov/covid-19-information/,"Government postpones Kinshasa's three-week lockdown due to security concerns (Garda, 29.03.2020) Borders closed and state of emergency imposed as of 25 March. Internal passenger flights and river transport to and from Kinshasa are also banned. UNHAS is approaching the CAA to get special clearances. Internal restrictions: On 27 March, movement restrictions within Kinshasa announced from 28 March were indefinitely postponed. On 24 March evening following the declaration of the state of emergency for 30 days, authorities announced the lockdown of the capital Kinshasa. Bars and restaurants are closed until further notice. Closure of schools and universities until at least 17 April."
Djibouti,DJI,42.182803,11.560073,2020-03-31,UNHAS source: https://www.ethiopianairlines.com/aa/en/breaking-news/updates-and-health-advisory-on-the-covid-19-virus https://dj.usembassy.gov/covid-19-information-26-march-2020/,"International restrictions: All international travel in and out of Djibouti is suspended, including humanitarian flights. Cargo movements are permitted. Railway and boat travel is also suspended. Internal restrictions: On March 23, a seven-day lockdown was announced under which all public and private entities are closed for a week and staff must stay at home on paid leave. Essential services are exempt (food markets, pharmacies, banks and gas stations). The lockdown was extended on 25 March for an additional seven days, for a total of fourteen. Internal transport is subject to restrictions, including passenger limitations and additional sanitisation practices."
Dominica,DMA,-61.350113,15.434742,2020-03-31,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Gov.uk,1. Flights to Dominica are suspended. 2. Nationals of Dominica will be placed in a 14-day mandatory quarantine. Internal resttrictions: There is at present a 24 hour lockdown in place due to be lifted on 31 March. However the situation is fluid and this could change. No businesses are open at present.
Dominican Republic,DOM,-70.499109,18.898312,2020-03-31,https://www.iata.org/contentassets/a54ad545de374375acd214555d9573c5/dominican-republic-ncov-measures.pdf https://bb.usembassy.gov/covid-19-information/,"Effective March 19th at 6am, all borders closed until 12 April. Exemption only granted for flights repatriating foreigners and all-cargo flights. Immigration to ask all passengers to declare all countries visiited during the last 30 days. If passenger has visited China during the past 14 days, the officer must immediately notify the Health Authority on the port of entry in order for the health protocol to be activated. The Public Health Ministry reserves the right to require the airline to submit the passenger localization format. This must be delivered within 24 hours once notified. Heightened screening and quarantine protocols at ports of entry. All airlines must notify passengers that board a plane in China with the Dominican Republic as the final destination, the only two airports authorized to receive these passengers are Las Americas Intl Airport and/or Punta Cana Intl Airport. All airlines are required to ask all passengers if they have visited China in the 14 days prior to travel as pre-requisite to travel to the Dominican Republic. If answer is positive, airline should issue the ticket only to the two airports mentioned before."
Fiji,FJI,177.964016,-17.835777,2020-03-31,International SOS http://www.immigration.gov.fj/ https://fj.usembassy.gov/u-s-citizen-services/covid-19-information/,"International restrictions: Nadi Airport will be officially shut down to all scheduled passenger travel from 27 March.Three flights bringing Fijian nationals home will be allowed and passengers will be required to quarantine. Transit through Fiji is banned until further notice. From 29 March, all passenger travel to the outer islands will cease. All foreign nationals who have visited or transited through mainland China, Iran, South Korea, United States and all of Europe including the United Kingdoms within 14 days prior to arrival will be denied entry. Starting 16 March, all cruise ships are banned from entering the country. Returning nationals are required to undergo a self-quarantine for 14 days. From 30 March, national carrier Fiji Airways has suspended all domestic flights; only Fiji Link flights will be operating at reduced frequency between Nadi and Suva. The airline is exploring flights between Nadi, Sydney and Brisbane. Fijian and Australian nationals wishing to return can indicate interest to the airline. More details will be confirmed on 31 March or 1 April. Cruise ships are barred from entry. Internal restrictions: From 30 March, a nationwide curfew will be implemented from 22.00-05.00 for an indefinite period. Greater Lautoka Area (Western division) is placed under lockdown, where non-essential travel in and out of the area is prohibited. Schools and non-essential businesses will be closed until further notice. Essential businesses and services such as banks, supermarkets, pharmacies, emergency services, telecommunications remain open. Gatherings of more than 20 people are banned."
Gambia,GMB,-15.39888,13.453329,2020-03-31,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening https://gm.usembassy.gov/country-specific-coronavirus-information/,"Authorities announced they will close land borders with Senegal and will suspend all flights from 00.01, 23 March. Cargo and medical flights are exempt from this measure. All flights from Austria, Belgium, Denmark, France, Germany, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland and the UK are suspended until further notice. All travellers from 47 other countries will be subject to a 14-day mandatory quarantine. Internal restrictions: All public gatherings, including international and local conferences, have been suspended. All schools and universities as well as entertainment venues have been closed. The measures will stay in place at least until 7 April."
