region_type,region,state,country,percent_yoy_change,date
countries,Germany,,,-100,2020-03-22
countries,Germany,,,-100,2020-03-23
countries,Germany,,,-100,2020-03-24
countries,Germany,,,-100,2020-03-25
countries,Germany,,,-100,2020-03-26
countries,Germany,,,-100,2020-03-27
countries,Germany,,,-100,2020-03-28
countries,Germany,,,-100,2020-03-29
countries,Germany,,,-100,2020-03-30
countries,Ireland,,,2,2020-02-18
countries,Ireland,,,0,2020-02-19
countries,Ireland,,,4,2020-02-20
countries,Ireland,,,1,2020-02-21
countries,Ireland,,,-3,2020-02-22
countries,Ireland,,,4,2020-02-23
countries,Ireland,,,-9,2020-02-24
countries,Ireland,,,-8,2020-02-25
countries,Ireland,,,-10,2020-02-26
countries,Ireland,,,-2,2020-02-27
countries,Ireland,,,-10,2020-02-28
countries,Ireland,,,-13,2020-02-29
countries,Ireland,,,10,2020-03-01
countries,Ireland,,,-6,2020-03-02
countries,Ireland,,,-7,2020-03-03
countries,Ireland,,,-1,2020-03-04
countries,Ireland,,,-15,2020-03-05
countries,Ireland,,,-13,2020-03-06
countries,Ireland,,,-5,2020-03-07
countries,Ireland,,,4,2020-03-08
countries,Ireland,,,-10,2020-03-09
countries,Ireland,,,-28,2020-03-10
countries,Ireland,,,-27,2020-03-11
countries,Ireland,,,-46,2020-03-12
countries,Ireland,,,-51,2020-03-13
countries,Ireland,,,-52,2020-03-14
countries,Ireland,,,-75,2020-03-15
countries,Ireland,,,-70,2020-03-16
countries,Ireland,,,-86,2020-03-17
countries,Ireland,,,-97,2020-03-18
countries,Ireland,,,-99,2020-03-19
countries,Ireland,,,-99,2020-03-20
countries,Ireland,,,-99,2020-03-21
countries,Ireland,,,-98,2020-03-22
countries,Ireland,,,-100,2020-03-23
countries,Ireland,,,-100,2020-03-24
countries,Ireland,,,-100,2020-03-25
countries,Ireland,,,-100,2020-03-26
countries,Ireland,,,-100,2020-03-27
countries,Ireland,,,-100,2020-03-28
countries,Ireland,,,-100,2020-03-29
countries,Ireland,,,-100,2020-03-30
countries,Mexico,,,-5,2020-02-18
countries,Mexico,,,-5,2020-02-19
countries,Mexico,,,-4,2020-02-20
countries,Mexico,,,-3,2020-02-21
countries,Mexico,,,-1,2020-02-22
countries,Mexico,,,2,2020-02-23
countries,Mexico,,,-1,2020-02-24
countries,Mexico,,,-3,2020-02-25
countries,Mexico,,,-9,2020-02-26
countries,Mexico,,,-7,2020-02-27
countries,Mexico,,,-10,2020-02-28
countries,Mexico,,,-5,2020-02-29
countries,Mexico,,,-7,2020-03-01
countries,Mexico,,,-7,2020-03-02
countries,Mexico,,,-10,2020-03-03
countries,Mexico,,,-6,2020-03-04
countries,Mexico,,,-6,2020-03-05
countries,Mexico,,,-8,2020-03-06
countries,Mexico,,,-2,2020-03-07
countries,Mexico,,,-5,2020-03-08
countries,Mexico,,,-19,2020-03-09
countries,Mexico,,,-16,2020-03-10
countries,Mexico,,,-15,2020-03-11
countries,Mexico,,,-16,2020-03-12
countries,Mexico,,,-16,2020-03-13
countries,Mexico,,,-21,2020-03-14
countries,Mexico,,,-35,2020-03-15
countries,Mexico,,,-48,2020-03-16
countries,Mexico,,,-62,2020-03-17
countries,Mexico,,,-73,2020-03-18
countries,Mexico,,,-78,2020-03-19
countries,Mexico,,,-85,2020-03-20
countries,Mexico,,,-91,2020-03-21
countries,Mexico,,,-95,2020-03-22
countries,Mexico,,,-95,2020-03-23
countries,Mexico,,,-96,2020-03-24
countries,Mexico,,,-97,2020-03-25
countries,Mexico,,,-97,2020-03-26
countries,Mexico,,,-97,2020-03-27
countries,Mexico,,,-97,2020-03-28
countries,Mexico,,,-99,2020-03-29
countries,Mexico,,,-98,2020-03-30
countries,United Kingdom,,,1,2020-02-18
countries,United Kingdom,,,-1,2020-02-19
countries,United Kingdom,,,-2,2020-02-20
countries,United Kingdom,,,0,2020-02-21
countries,United Kingdom,,,-1,2020-02-22
countries,United Kingdom,,,-4,2020-02-23
countries,United Kingdom,,,-6,2020-02-24
countries,United Kingdom,,,-5,2020-02-25
countries,United Kingdom,,,-5,2020-02-26
countries,United Kingdom,,,-8,2020-02-27
countries,United Kingdom,,,-2,2020-02-28
countries,United Kingdom,,,-3,2020-02-29
countries,United Kingdom,,,-2,2020-03-01
countries,United Kingdom,,,-7,2020-03-02
countries,United Kingdom,,,-11,2020-03-03
countries,United Kingdom,,,-9,2020-03-04
countries,United Kingdom,,,-12,2020-03-05
countries,United Kingdom,,,-5,2020-03-06
countries,United Kingdom,,,-3,2020-03-07
countries,United Kingdom,,,1,2020-03-08
countries,United Kingdom,,,-18,2020-03-09
countries,United Kingdom,,,-17,2020-03-10
countries,United Kingdom,,,-14,2020-03-11
countries,United Kingdom,,,-24,2020-03-12
countries,United Kingdom,,,-26,2020-03-13
countries,United Kingdom,,,-20,2020-03-14
countries,United Kingdom,,,-31,2020-03-15
countries,United Kingdom,,,-52,2020-03-16
countries,United Kingdom,,,-82,2020-03-17
countries,United Kingdom,,,-88,2020-03-18
countries,United Kingdom,,,-91,2020-03-19
countries,United Kingdom,,,-94,2020-03-20
countries,United Kingdom,,,-100,2020-03-21
countries,United Kingdom,,,-100,2020-03-22
countries,United Kingdom,,,-100,2020-03-23
countries,United Kingdom,,,-100,2020-03-24
countries,United Kingdom,,,-100,2020-03-25
countries,United Kingdom,,,-100,2020-03-26
countries,United Kingdom,,,-100,2020-03-27
countries,United Kingdom,,,-100,2020-03-28
countries,United Kingdom,,,-100,2020-03-29
countries,United Kingdom,,,-100,2020-03-30
countries,United States,,,0,2020-02-18
countries,United States,,,4,2020-02-19
countries,United States,,,0,2020-02-20
countries,United States,,,-1,2020-02-21
countries,United States,,,2,2020-02-22
countries,United States,,,6,2020-02-23
countries,United States,,,2,2020-02-24
countries,United States,,,2,2020-02-25
countries,United States,,,-1,2020-02-26
countries,United States,,,-1,2020-02-27
countries,United States,,,1,2020-02-28
countries,United States,,,3,2020-02-29
countries,United States,,,2,2020-03-01
countries,United States,,,-7,2020-03-02
countries,United States,,,-9,2020-03-03
countries,United States,,,-5,2020-03-04
countries,United States,,,-5,2020-03-05
countries,United States,,,-6,2020-03-06
countries,United States,,,-3,2020-03-07
countries,United States,,,-2,2020-03-08
countries,United States,,,-14,2020-03-09
countries,United States,,,-18,2020-03-10
countries,United States,,,-19,2020-03-11
countries,United States,,,-28,2020-03-12
countries,United States,,,-36,2020-03-13
countries,United States,,,-42,2020-03-14
countries,United States,,,-48,2020-03-15
countries,United States,,,-56,2020-03-16
countries,United States,,,-84,2020-03-17
countries,United States,,,-91,2020-03-18
countries,United States,,,-98,2020-03-19
countries,United States,,,-99,2020-03-20
countries,United States,,,-100,2020-03-21
countries,United States,,,-100,2020-03-22
countries,United States,,,-100,2020-03-23
countries,United States,,,-100,2020-03-24
countries,United States,,,-100,2020-03-25
countries,United States,,,-100,2020-03-26
countries,United States,,,-100,2020-03-27
countries,United States,,,-100,2020-03-28
countries,United States,,,-100,2020-03-29
countries,United States,,,-100,2020-03-30
states,Alabama,,United States,-14,2020-02-18
states,Alabama,,United States,7,2020-02-19
states,Alabama,,United States,1,2020-02-20
states,Alabama,,United States,-2,2020-02-21
states,Alabama,,United States,8,2020-02-22
states,Alabama,,United States,2,2020-02-23
states,Alabama,,United States,1,2020-02-24
states,Alabama,,United States,0,2020-02-25
states,Alabama,,United States,-8,2020-02-26
states,Alabama,,United States,-3,2020-02-27
states,Alabama,,United States,-3,2020-02-28
states,Alabama,,United States,-11,2020-02-29
states,Alabama,,United States,2,2020-03-01
states,Alabama,,United States,-32,2020-03-02
states,Alabama,,United States,-29,2020-03-03
states,Alabama,,United States,-23,2020-03-04
states,Alabama,,United States,-15,2020-03-05
states,Alabama,,United States,-3,2020-03-06
states,Alabama,,United States,11,2020-03-07
states,Alabama,,United States,-10,2020-03-08
states,Alabama,,United States,-11,2020-03-09
states,Alabama,,United States,-26,2020-03-10
states,Alabama,,United States,-8,2020-03-11
states,Alabama,,United States,-2,2020-03-12
states,Alabama,,United States,-24,2020-03-13
states,Alabama,,United States,-28,2020-03-14
states,Alabama,,United States,-38,2020-03-15
states,Alabama,,United States,-57,2020-03-16
states,Alabama,,United States,-74,2020-03-17
states,Alabama,,United States,-78,2020-03-18
states,Alabama,,United States,-97,2020-03-19
states,Alabama,,United States,-100,2020-03-20
states,Alabama,,United States,-100,2020-03-21
states,Alabama,,United States,-100,2020-03-22
states,Alabama,,United States,-100,2020-03-23
states,Alabama,,United States,-100,2020-03-24
states,Alabama,,United States,-100,2020-03-25
states,Alabama,,United States,-100,2020-03-26
states,Alabama,,United States,-100,2020-03-27
states,Alabama,,United States,-100,2020-03-28
states,Alabama,,United States,-100,2020-03-29
states,Alabama,,United States,-100,2020-03-30
states,Alberta,,Canada,2,2020-02-18
states,Alberta,,Canada,10,2020-02-19
states,Alberta,,Canada,2,2020-02-20
states,Alberta,,Canada,1,2020-02-21
states,Alberta,,Canada,5,2020-02-22
states,Alberta,,Canada,0,2020-02-23
states,Alberta,,Canada,-1,2020-02-24
states,Alberta,,Canada,3,2020-02-25
states,Alberta,,Canada,-1,2020-02-26
states,Alberta,,Canada,-4,2020-02-27
states,Alberta,,Canada,3,2020-02-28
states,Alberta,,Canada,2,2020-02-29
states,Alberta,,Canada,-4,2020-03-01
states,Alberta,,Canada,-10,2020-03-02
states,Alberta,,Canada,-4,2020-03-03
states,Alberta,,Canada,-1,2020-03-04
states,Alberta,,Canada,-8,2020-03-05
states,Alberta,,Canada,1,2020-03-06
states,Alberta,,Canada,-16,2020-03-07
states,Alberta,,Canada,-7,2020-03-08
states,Alberta,,Canada,-13,2020-03-09
states,Alberta,,Canada,-10,2020-03-10
states,Alberta,,Canada,-8,2020-03-11
states,Alberta,,Canada,-23,2020-03-12
states,Alberta,,Canada,-43,2020-03-13
states,Alberta,,Canada,-44,2020-03-14
states,Alberta,,Canada,-49,2020-03-15
states,Alberta,,Canada,-65,2020-03-16
states,Alberta,,Canada,-89,2020-03-17
states,Alberta,,Canada,-96,2020-03-18
states,Alberta,,Canada,-98,2020-03-19
states,Alberta,,Canada,-99,2020-03-20
states,Alberta,,Canada,-100,2020-03-21
states,Alberta,,Canada,-100,2020-03-22
states,Alberta,,Canada,-100,2020-03-23
states,Alberta,,Canada,-100,2020-03-24
states,Alberta,,Canada,-100,2020-03-25
states,Alberta,,Canada,-100,2020-03-26
states,Alberta,,Canada,-100,2020-03-27
states,Alberta,,Canada,-100,2020-03-28
states,Alberta,,Canada,-100,2020-03-29
states,Alberta,,Canada,-100,2020-03-30
states,Arizona,,United States,0,2020-02-18
states,Arizona,,United States,1,2020-02-19
states,Arizona,,United States,8,2020-02-20
states,Arizona,,United States,4,2020-02-21
states,Arizona,,United States,-3,2020-02-22
states,Arizona,,United States,5,2020-02-23
states,Arizona,,United States,2,2020-02-24
states,Arizona,,United States,5,2020-02-25
states,Arizona,,United States,1,2020-02-26
states,Arizona,,United States,3,2020-02-27
states,Arizona,,United States,2,2020-02-28
states,Arizona,,United States,1,2020-02-29
states,Arizona,,United States,-2,2020-03-01
states,Arizona,,United States,-7,2020-03-02
states,Arizona,,United States,-10,2020-03-03
states,Arizona,,United States,0,2020-03-04
states,Arizona,,United States,-4,2020-03-05
states,Arizona,,United States,-3,2020-03-06
states,Arizona,,United States,-2,2020-03-07
states,Arizona,,United States,-3,2020-03-08
states,Arizona,,United States,-7,2020-03-09
states,Arizona,,United States,-14,2020-03-10
states,Arizona,,United States,-20,2020-03-11
states,Arizona,,United States,-18,2020-03-12
states,Arizona,,United States,-26,2020-03-13
states,Arizona,,United States,-24,2020-03-14
states,Arizona,,United States,-37,2020-03-15
states,Arizona,,United States,-54,2020-03-16
states,Arizona,,United States,-77,2020-03-17
states,Arizona,,United States,-93,2020-03-18
states,Arizona,,United States,-96,2020-03-19
states,Arizona,,United States,-98,2020-03-20
states,Arizona,,United States,-100,2020-03-21
states,Arizona,,United States,-100,2020-03-22
states,Arizona,,United States,-100,2020-03-23
states,Arizona,,United States,-100,2020-03-24
states,Arizona,,United States,-100,2020-03-25
states,Arizona,,United States,-100,2020-03-26
states,Arizona,,United States,-100,2020-03-27
states,Arizona,,United States,-100,2020-03-28
states,Arizona,,United States,-100,2020-03-29
states,Arizona,,United States,-100,2020-03-30
states,Baja California Sur,,Mexico,-6,2020-02-18
states,Baja California Sur,,Mexico,-2,2020-02-19
states,Baja California Sur,,Mexico,-2,2020-02-20
states,Baja California Sur,,Mexico,-9,2020-02-21
states,Baja California Sur,,Mexico,1,2020-02-22
states,Baja California Sur,,Mexico,1,2020-02-23
states,Baja California Sur,,Mexico,29,2020-02-24
states,Baja California Sur,,Mexico,6,2020-02-25
states,Baja California Sur,,Mexico,9,2020-02-26
states,Baja California Sur,,Mexico,10,2020-02-27
states,Baja California Sur,,Mexico,-18,2020-02-28
states,Baja California Sur,,Mexico,-13,2020-02-29
states,Baja California Sur,,Mexico,-15,2020-03-01
states,Baja California Sur,,Mexico,3,2020-03-02
states,Baja California Sur,,Mexico,-17,2020-03-03
states,Baja California Sur,,Mexico,0,2020-03-04
states,Baja California Sur,,Mexico,0,2020-03-05
states,Baja California Sur,,Mexico,-8,2020-03-06
states,Baja California Sur,,Mexico,-8,2020-03-07
states,Baja California Sur,,Mexico,-11,2020-03-08
states,Baja California Sur,,Mexico,-17,2020-03-09
states,Baja California Sur,,Mexico,-20,2020-03-10
states,Baja California Sur,,Mexico,-17,2020-03-11
states,Baja California Sur,,Mexico,-12,2020-03-12
states,Baja California Sur,,Mexico,-23,2020-03-13
states,Baja California Sur,,Mexico,-34,2020-03-14
states,Baja California Sur,,Mexico,-29,2020-03-15
states,Baja California Sur,,Mexico,-33,2020-03-16
states,Baja California Sur,,Mexico,-42,2020-03-17
states,Baja California Sur,,Mexico,-44,2020-03-18
states,Baja California Sur,,Mexico,-56,2020-03-19
states,Baja California Sur,,Mexico,-73,2020-03-20
states,Baja California Sur,,Mexico,-84,2020-03-21
states,Baja California Sur,,Mexico,-93,2020-03-22
states,Baja California Sur,,Mexico,-96,2020-03-23
states,Baja California Sur,,Mexico,-98,2020-03-24
states,Baja California Sur,,Mexico,-98,2020-03-25
states,Baja California Sur,,Mexico,-98,2020-03-26
states,Baja California Sur,,Mexico,-98,2020-03-27
states,Baja California Sur,,Mexico,-98,2020-03-28
states,Baja California Sur,,Mexico,-99,2020-03-29
states,Baja California Sur,,Mexico,-99,2020-03-30
states,British Columbia,,Canada,8,2020-02-18
states,British Columbia,,Canada,-3,2020-02-19
states,British Columbia,,Canada,1,2020-02-20
states,British Columbia,,Canada,6,2020-02-21
states,British Columbia,,Canada,3,2020-02-22
states,British Columbia,,Canada,-2,2020-02-23
states,British Columbia,,Canada,-3,2020-02-24
states,British Columbia,,Canada,-5,2020-02-25
states,British Columbia,,Canada,0,2020-02-26
states,British Columbia,,Canada,-4,2020-02-27
states,British Columbia,,Canada,-2,2020-02-28
states,British Columbia,,Canada,-2,2020-02-29
states,British Columbia,,Canada,-8,2020-03-01
states,British Columbia,,Canada,-11,2020-03-02
states,British Columbia,,Canada,-7,2020-03-03
states,British Columbia,,Canada,-4,2020-03-04
states,British Columbia,,Canada,-6,2020-03-05
states,British Columbia,,Canada,-6,2020-03-06
states,British Columbia,,Canada,-11,2020-03-07
states,British Columbia,,Canada,-6,2020-03-08
states,British Columbia,,Canada,-3,2020-03-09
states,British Columbia,,Canada,-15,2020-03-10
states,British Columbia,,Canada,-13,2020-03-11
states,British Columbia,,Canada,-21,2020-03-12
states,British Columbia,,Canada,-30,2020-03-13
states,British Columbia,,Canada,-30,2020-03-14
states,British Columbia,,Canada,-38,2020-03-15
states,British Columbia,,Canada,-54,2020-03-16
states,British Columbia,,Canada,-92,2020-03-17
states,British Columbia,,Canada,-97,2020-03-18
states,British Columbia,,Canada,-100,2020-03-19
states,British Columbia,,Canada,-100,2020-03-20
states,British Columbia,,Canada,-100,2020-03-21
states,British Columbia,,Canada,-100,2020-03-22
states,British Columbia,,Canada,-100,2020-03-23
states,British Columbia,,Canada,-100,2020-03-24
states,British Columbia,,Canada,-100,2020-03-25
states,British Columbia,,Canada,-100,2020-03-26
states,British Columbia,,Canada,-100,2020-03-27
states,British Columbia,,Canada,-100,2020-03-28
states,British Columbia,,Canada,-100,2020-03-29
states,British Columbia,,Canada,-100,2020-03-30
states,California,,United States,-2,2020-02-18
states,California,,United States,2,2020-02-19
states,California,,United States,5,2020-02-20
states,California,,United States,0,2020-02-21
states,California,,United States,-2,2020-02-22
states,California,,United States,7,2020-02-23
states,California,,United States,3,2020-02-24
states,California,,United States,6,2020-02-25
states,California,,United States,4,2020-02-26
states,California,,United States,3,2020-02-27
states,California,,United States,5,2020-02-28
states,California,,United States,9,2020-02-29
states,California,,United States,-3,2020-03-01
states,California,,United States,-6,2020-03-02
states,California,,United States,-4,2020-03-03
states,California,,United States,-3,2020-03-04
states,California,,United States,-10,2020-03-05
states,California,,United States,-8,2020-03-06
states,California,,United States,-5,2020-03-07
states,California,,United States,-5,2020-03-08
states,California,,United States,-18,2020-03-09
states,California,,United States,-27,2020-03-10
states,California,,United States,-23,2020-03-11
states,California,,United States,-38,2020-03-12
states,California,,United States,-42,2020-03-13
states,California,,United States,-47,2020-03-14
states,California,,United States,-55,2020-03-15
states,California,,United States,-70,2020-03-16
states,California,,United States,-96,2020-03-17
states,California,,United States,-99,2020-03-18
states,California,,United States,-100,2020-03-19
states,California,,United States,-100,2020-03-20
states,California,,United States,-100,2020-03-21
states,California,,United States,-100,2020-03-22
states,California,,United States,-100,2020-03-23
states,California,,United States,-100,2020-03-24
states,California,,United States,-100,2020-03-25
states,California,,United States,-100,2020-03-26
states,California,,United States,-100,2020-03-27
states,California,,United States,-100,2020-03-28
states,California,,United States,-100,2020-03-29
states,California,,United States,-100,2020-03-30
states,Colorado,,United States,1,2020-02-18
states,Colorado,,United States,-8,2020-02-19
states,Colorado,,United States,-4,2020-02-20
states,Colorado,,United States,7,2020-02-21
states,Colorado,,United States,1,2020-02-22
states,Colorado,,United States,-8,2020-02-23
states,Colorado,,United States,-2,2020-02-24
states,Colorado,,United States,-4,2020-02-25
states,Colorado,,United States,-1,2020-02-26
states,Colorado,,United States,-2,2020-02-27
states,Colorado,,United States,0,2020-02-28
states,Colorado,,United States,22,2020-02-29
states,Colorado,,United States,26,2020-03-01
states,Colorado,,United States,-1,2020-03-02
states,Colorado,,United States,-6,2020-03-03
states,Colorado,,United States,-6,2020-03-04
states,Colorado,,United States,-4,2020-03-05
states,Colorado,,United States,-8,2020-03-06
states,Colorado,,United States,-10,2020-03-07
states,Colorado,,United States,-6,2020-03-08
states,Colorado,,United States,-13,2020-03-09
states,Colorado,,United States,-17,2020-03-10
states,Colorado,,United States,-8,2020-03-11
states,Colorado,,United States,-17,2020-03-12
states,Colorado,,United States,-41,2020-03-13
states,Colorado,,United States,-45,2020-03-14
states,Colorado,,United States,-52,2020-03-15
states,Colorado,,United States,-66,2020-03-16
states,Colorado,,United States,-98,2020-03-17
states,Colorado,,United States,-100,2020-03-18
states,Colorado,,United States,-100,2020-03-19
states,Colorado,,United States,-100,2020-03-20
states,Colorado,,United States,-100,2020-03-21
states,Colorado,,United States,-100,2020-03-22
states,Colorado,,United States,-100,2020-03-23
states,Colorado,,United States,-100,2020-03-24
states,Colorado,,United States,-100,2020-03-25
states,Colorado,,United States,-100,2020-03-26
states,Colorado,,United States,-100,2020-03-27
states,Colorado,,United States,-100,2020-03-28
states,Colorado,,United States,-100,2020-03-29
states,Colorado,,United States,-100,2020-03-30
states,Connecticut,,United States,8,2020-02-18
states,Connecticut,,United States,26,2020-02-19
states,Connecticut,,United States,1,2020-02-20
states,Connecticut,,United States,-3,2020-02-21
states,Connecticut,,United States,-6,2020-02-22
states,Connecticut,,United States,2,2020-02-23
states,Connecticut,,United States,-2,2020-02-24
states,Connecticut,,United States,6,2020-02-25
states,Connecticut,,United States,9,2020-02-26
states,Connecticut,,United States,-8,2020-02-27
states,Connecticut,,United States,-1,2020-02-28
states,Connecticut,,United States,4,2020-02-29
states,Connecticut,,United States,13,2020-03-01
states,Connecticut,,United States,13,2020-03-02
states,Connecticut,,United States,-9,2020-03-03
states,Connecticut,,United States,-6,2020-03-04
states,Connecticut,,United States,-7,2020-03-05
states,Connecticut,,United States,-8,2020-03-06
states,Connecticut,,United States,-8,2020-03-07
states,Connecticut,,United States,0,2020-03-08
states,Connecticut,,United States,-12,2020-03-09
states,Connecticut,,United States,-20,2020-03-10
states,Connecticut,,United States,-20,2020-03-11
states,Connecticut,,United States,-43,2020-03-12
states,Connecticut,,United States,-50,2020-03-13
states,Connecticut,,United States,-58,2020-03-14
states,Connecticut,,United States,-57,2020-03-15
states,Connecticut,,United States,-55,2020-03-16
states,Connecticut,,United States,-100,2020-03-17
states,Connecticut,,United States,-100,2020-03-18
states,Connecticut,,United States,-100,2020-03-19
states,Connecticut,,United States,-100,2020-03-20
states,Connecticut,,United States,-100,2020-03-21
states,Connecticut,,United States,-100,2020-03-22
states,Connecticut,,United States,-100,2020-03-23
states,Connecticut,,United States,-100,2020-03-24
states,Connecticut,,United States,-100,2020-03-25
states,Connecticut,,United States,-100,2020-03-26
states,Connecticut,,United States,-100,2020-03-27
states,Connecticut,,United States,-100,2020-03-28
states,Connecticut,,United States,-100,2020-03-29
states,Connecticut,,United States,-100,2020-03-30
states,District of Columbia,,United States,-5,2020-02-18
states,District of Columbia,,United States,55,2020-02-19
states,District of Columbia,,United States,8,2020-02-20
states,District of Columbia,,United States,0,2020-02-21
states,District of Columbia,,United States,8,2020-02-22
states,District of Columbia,,United States,15,2020-02-23
states,District of Columbia,,United States,11,2020-02-24
states,District of Columbia,,United States,8,2020-02-25
states,District of Columbia,,United States,8,2020-02-26
states,District of Columbia,,United States,1,2020-02-27
states,District of Columbia,,United States,3,2020-02-28
